Date;Open;High;Low;Last Close;Chg.%;
"08/02/2007";"1762.50";"1782.50";"1762.50";"1768.40";"+1.18%";
"08/03/2007";"1775.60";"1778.90";"1770.00";"1772.30";"+0.22%";
"08/06/2007";"1757.30";"1765.80";"1746.60";"1755.20";"-0.96%";
"08/07/2007";"1769.60";"1781.50";"1767.60";"1770.40";"+0.87%";
"08/08/2007";"1790.60";"1816.40";"1789.70";"1808.20";"+2.14%";
"08/09/2007";"1813.60";"1813.60";"1768.90";"1774.60";"-1.86%";
"08/10/2007";"1761.70";"1762.40";"1735.90";"1750.60";"-1.35%";
"08/13/2007";"1760.30";"1783.60";"1759.80";"1783.60";"+1.89%";
"08/14/2007";"1773.30";"1777.00";"1765.30";"1775.10";"-0.48%";
"08/15/2007";"1760.60";"1764.30";"1741.30";"1749.70";"-1.43%";
"08/16/2007";"1728.80";"1728.80";"1652.00";"1653.20";"-5.52%";
"08/17/2007";"1657.60";"1695.60";"1630.90";"1688.10";"+2.11%";
"08/20/2007";"1696.30";"1715.20";"1690.20";"1691.00";"+0.17%";
"08/21/2007";"1689.40";"1707.10";"1670.80";"1697.50";"+0.38%";
"08/22/2007";"1709.70";"1734.60";"1709.70";"1734.00";"+2.15%";
"08/23/2007";"1757.10";"1769.20";"1749.50";"1750.00";"+0.92%";
"08/24/2007";"1747.10";"1769.70";"1744.70";"1767.10";"+0.98%";
"08/27/2007";"1771.50";"1788.60";"1771.50";"1787.70";"+1.17%";
"08/28/2007";"1786.00";"1787.10";"1773.50";"1773.90";"-0.77%";
"08/29/2007";"1750.60";"1764.20";"1739.00";"1761.00";"-0.73%";
"08/30/2007";"1762.60";"1779.10";"1754.50";"1771.30";"+0.58%";
"08/31/2007";"1772.40";"1791.90";"1768.90";"1789.30";"+1.02%";
"09/03/2007";"1797.00";"1799.60";"1787.00";"1798.60";"+0.52%";
"09/04/2007";"1791.50";"1812.30";"1785.70";"1812.10";"+0.75%";
"09/05/2007";"1812.40";"1812.50";"1800.50";"1806.30";"-0.32%";
"09/06/2007";"1784.20";"1785.70";"1767.70";"1776.20";"-1.67%";
"09/07/2007";"1775.90";"1783.00";"1755.40";"1762.40";"-0.78%";
"09/10/2007";"1758.00";"1766.60";"1756.20";"1757.50";"-0.28%";
"09/11/2007";"1756.70";"1765.30";"1755.00";"1765.00";"+0.43%";
"09/12/2007";"1765.90";"1768.30";"1744.90";"1755.70";"-0.53%";
"09/13/2007";"1752.00";"1771.10";"1751.20";"1770.20";"+0.83%";
"09/14/2007";"1768.30";"1768.30";"1753.10";"1761.90";"-0.47%";
"09/17/2007";"1758.40";"1758.40";"1745.60";"1747.80";"-0.80%";
"09/18/2007";"1741.80";"1759.30";"1738.70";"1750.80";"+0.17%";
"09/19/2007";"1778.10";"1786.80";"1767.40";"1780.70";"+1.71%";
"09/20/2007";"1777.40";"1797.80";"1776.20";"1790.90";"+0.57%";
"09/21/2007";"1788.80";"1796.00";"1787.00";"1793.80";"+0.16%";
"09/24/2007";"1781.10";"1793.40";"1774.20";"1792.10";"-0.09%";
"09/25/2007";"1790.60";"1803.50";"1786.50";"1802.90";"+0.60%";
"09/26/2007";"1800.10";"1826.50";"1800.10";"1825.30";"+1.24%";
"09/27/2007";"1825.80";"1833.50";"1815.10";"1816.30";"-0.49%";
"10/01/2007";"1811.60";"1828.80";"1808.30";"1828.80";"+0.69%";
"10/02/2007";"1833.00";"1846.50";"1830.40";"1845.50";"+0.91%";
"10/03/2007";"1848.60";"1850.30";"1834.80";"1835.10";"-0.56%";
"10/04/2007";"1838.90";"1868.90";"1837.80";"1862.70";"+1.50%";
"10/05/2007";"1871.90";"1886.50";"1864.90";"1881.50";"+1.01%";
"10/08/2007";"1884.10";"1896.20";"1879.50";"1896.10";"+0.78%";
"10/09/2007";"1896.00";"1896.40";"1883.40";"1883.40";"-0.67%";
"10/10/2007";"1887.90";"1894.00";"1881.00";"1881.00";"-0.13%";
"10/11/2007";"1884.20";"1905.90";"1883.90";"1900.70";"+1.05%";
"10/12/2007";"1882.00";"1899.10";"1882.00";"1898.80";"-0.10%";
"10/15/2007";"1908.50";"1918.10";"1904.10";"1908.30";"+0.50%";
"10/16/2007";"1895.90";"1896.80";"1880.30";"1886.30";"-1.15%";
"10/17/2007";"1886.40";"1895.60";"1879.00";"1892.20";"+0.31%";
"10/18/2007";"1900.30";"1900.40";"1882.90";"1886.00";"-0.33%";
"10/19/2007";"1890.40";"1890.50";"1876.00";"1876.10";"-0.52%";
"10/22/2007";"1860.30";"1860.30";"1835.80";"1848.40";"-1.48%";
"10/23/2007";"1853.60";"1868.30";"1853.60";"1867.60";"+1.04%";
"10/24/2007";"1865.00";"1878.10";"1863.40";"1872.60";"+0.27%";
"10/25/2007";"1869.70";"1890.30";"1868.00";"1884.60";"+0.64%";
"10/26/2007";"1888.10";"1913.50";"1888.10";"1910.10";"+1.35%";
"10/29/2007";"1918.10";"1944.30";"1918.10";"1936.10";"+1.36%";
"10/30/2007";"1933.10";"1933.10";"1900.00";"1913.40";"-1.17%";
"10/31/2007";"1916.20";"1918.10";"1903.70";"1908.30";"-0.27%";
"11/01/2007";"1905.10";"1928.40";"1902.70";"1925.50";"+0.90%";
"11/02/2007";"1913.20";"1922.50";"1897.20";"1908.30";"-0.89%";
"11/05/2007";"1905.80";"1909.10";"1884.20";"1888.60";"-1.03%";
"11/06/2007";"1891.40";"1911.80";"1891.40";"1903.30";"+0.78%";
"11/07/2007";"1906.30";"1912.30";"1871.30";"1871.40";"-1.68%";
"11/08/2007";"1838.50";"1870.50";"1838.50";"1860.90";"-0.56%";
"11/09/2007";"1870.80";"1881.80";"1829.00";"1832.10";"-1.55%";
"11/12/2007";"1822.70";"1841.10";"1816.90";"1820.50";"-0.63%";
"11/13/2007";"1826.20";"1826.20";"1796.10";"1811.10";"-0.52%";
"11/14/2007";"1813.60";"1839.00";"1809.30";"1828.30";"+0.95%";
"11/15/2007";"1837.00";"1837.30";"1792.50";"1797.40";"-1.69%";
"11/16/2007";"1793.50";"1798.00";"1776.20";"1793.80";"-0.20%";
"11/19/2007";"1793.90";"1795.80";"1768.20";"1770.60";"-1.29%";
"11/20/2007";"1770.70";"1782.40";"1757.50";"1767.10";"-0.20%";
"11/21/2007";"1759.00";"1759.00";"1722.60";"1728.20";"-2.20%";
"11/22/2007";"1720.40";"1746.60";"1702.60";"1742.00";"+0.80%";
"11/23/2007";"1742.70";"1770.40";"1741.80";"1767.90";"+1.49%";
"11/26/2007";"1789.00";"1796.90";"1763.20";"1771.10";"+0.18%";
"11/27/2007";"1761.90";"1770.60";"1728.00";"1737.70";"-1.89%";
"11/28/2007";"1745.40";"1748.50";"1714.30";"1748.10";"+0.60%";
"11/29/2007";"1745.40";"1775.20";"1745.40";"1757.60";"+0.54%";
"11/30/2007";"1769.90";"1780.60";"1754.50";"1774.10";"+0.94%";
"12/03/2007";"1772.00";"1783.20";"1760.50";"1766.90";"-0.41%";
"12/04/2007";"1764.20";"1766.00";"1744.30";"1756.60";"-0.58%";
"12/05/2007";"1761.30";"1781.20";"1761.30";"1778.80";"+1.26%";
"12/06/2007";"1784.40";"1817.80";"1784.40";"1812.80";"+1.91%";
"12/07/2007";"1818.80";"1849.10";"1818.00";"1842.70";"+1.65%";
"12/10/2007";"1847.10";"1866.30";"1839.00";"1855.80";"+0.71%";
"12/11/2007";"1859.80";"1865.00";"1833.50";"1839.40";"-0.88%";
"12/12/2007";"1817.90";"1848.50";"1809.70";"1842.60";"+0.17%";
"12/13/2007";"1833.00";"1833.00";"1801.90";"1805.80";"-2.00%";
"12/14/2007";"1819.10";"1828.50";"1801.70";"1804.30";"-0.08%";
"12/17/2007";"1795.40";"1795.40";"1766.60";"1771.80";"-1.80%";
"12/18/2007";"1775.70";"1796.70";"1775.70";"1796.70";"+1.41%";
"12/19/2007";"1799.30";"1799.40";"1765.90";"1782.80";"-0.77%";
"12/20/2007";"1784.60";"1797.20";"1783.70";"1794.60";"+0.66%";
"12/21/2007";"1797.40";"1805.80";"1769.00";"1769.00";"-1.43%";
"12/27/2007";"1779.40";"1818.20";"1778.30";"1818.20";"+2.78%";
"12/28/2007";"1811.40";"1817.10";"1805.10";"1815.10";"-0.17%";
